User_Id,Location,Age,Gender
1,"bogor, jawa barat",21,Female
2,"Bekasi, jawa barat",21,Male
3,"Depok,Jawa Barat",21,Male
4,Bogor,29,Female
5,"Jakarta, DKI jakarta",29,Male
6,"Jakarta Selatan, DKI Jakarta",21,Female
7,cibubur jakarta timur,21,Female
8,"Bekasi, Jawa Barat",20,Male
9,"Bogor, Jawa Barat",,Female
10,"Bogor, Jawa Barat",38,Female
11,"Depok, Jawa Barat",21,Female
12,"Jakarta Timur, DKI JAKARTA",22,Male
13,"cikarang, jawa barat",21,Male
14,Jawa Barat Depok,20,Female
15,"Jakarta Timur, Jakarta",22,Male
16,"Kabupaten Bekasi, Jawa Barat",23,Male
17,"Bekasi, Jawa Barat",20,Female
18,"Jakarta, DKI JAKARTA ",23,Male
19,"Jakarta Timur, DKI Jakarta",21,Female
20,"Bogor,Jawa Barat",21,Male
21,"Jakarta Timur, Jakarta",20,Male
22,"Makassar, sulsel",23,Female
23,"Samarinda, Kalimantan Timur",20,Male
24,"Tegal, Jawa Tengah",21,Female
25,"Bogor, Jawa Barat",42,Female
26,"Depok,Jawa Barat",20,Female
27,"Bekasi, jawa barat ",20,Female
28,"Jakarta, DKI Jakarta",21,Male
29,Bekasi,40,Female
30,Bekasi,20,Male
31,"Bogor, Jawab Barat",21,Male
32,"Bekasi, Jawa Barat",22,Female
33,"Bogor, Jawa Barat",21,Male
34,"Bekasi, jawa barat",20,Female
35,"Depok, Jawa Barat",20,Male
36,"Tangerang, Banten",23,Male
37,"Kabupaten Bogor, Jawa Barat",21,Male
38,Jakarta Timur,25,Female
39,"Bekasi, Jawa Barat",21,Female
40,"Depok, Jawa Barat",19,Male
41,"Cakung, Jakarta Timur ",22,Female
42,"Bekasi, Jawa Barat",23,Female
43,"Bekasi, jawaba",19,Female
44,Kota Bogor,20,Female
45,"Keroncong, Kota Tangerang ",22,Female
46,"Kramatjati, Jakarta Timur",21,Female
47,"Tangerang, Banten",19,Female
48,"Bekasi, Jawa Barat ",21,Male
49,Jawa Barat,21,Female
50,"Kabupaten Bogor, Jawa Barat",20,Male
51,Jakarta,24,Male
52,"Jakarta Timur, DKI Jakarta",20,Male
53,"jakarta timur,DKI jakarta",20,Male
54,"Depok, Jawa Barat",24,Male
55,"Jakarta Timur, DKI Jakarta",20,Male
56,"Jakpus, DKI Jakarta",27,Male
57,Depok,28,Male
58,"Jakarta, dki jakarta",23,Male
